Observation,Actual,Predicted,Absolute_Error,Squared_Error
1,11.558,14.486210490295953,2.928210490295953,8.574416675479267
2,14.717,13.463742857180765,1.2532571428192352,1.5706534660274327
3,14.867,13.450398917839715,1.4166010821602857,2.0067586259776924
4,7.647,8.549860791635156,0.9028607916351561,0.8151576090720607
5,6.245,8.018445233948906,1.7734452339489062,3.1451079978160905
6,14.514,14.586197207279984,0.07219720727998435,0.0052124367390290255
7,13.608,15.019489227132322,1.4114892271323214,1.992301838310598
8,10.168,9.475774105532206,0.6922258944677928,0.4791766889717358
9,10.325,13.89883698591914,3.57383698591914,12.772310801923604
10,15.851,13.358809808729813,2.492190191270188,6.2110119494633365
11,9.04,8.866417377794978,0.1735826222050214,0.03013092673157119
12,14.514,15.239977036360855,0.725977036360856,0.5270426573232916
13,16.24,13.322732331470572,2.9172676685294263,8.510450649847115
14,11.728,14.369167535570238,2.641167535570238,6.975765950950166
15,12.485,13.665909317508737,1.1809093175087373,1.3945468161789516
16,10.008,9.184583793680954,0.8234162063190453,0.6780142488288486
17,12.512,13.092590877379441,0.580590877379441,0.33708576689622916
18,6.301,6.74786837637809,0.44686837637808985,0.19969134580679018
19,9.577,11.26230045019314,1.6853004501931395,2.8402376074211984
20,12.629,11.304444914695935,1.3245550853040644,1.7544461740048574
21,10.389,12.01770200624868,1.6287020062486803,2.6526702251584764
22,12.196,13.26591523544542,1.0699152354454196,1.1447186110382275
23,7.545,8.523296015608768,0.9782960156087679,0.9570630941559907
24,6.753,8.327314880347952,1.574314880347952,2.478467342484987
25,13.289,11.645388435916717,1.6436115640832831,2.7014589735882963
26,9.149,10.948700153467723,1.7997001534677235,3.2389206423917476
27,18.214,13.741399129460895,4.472600870539104,20.00415854714715
28,16.758,14.633116021139392,2.1248839788606073,4.515131923618486
29,14.814,14.978157095982805,0.16415709598280515,0.0269475521615079
30,14.322,12.533286213172032,1.7887137868279677,3.199497011188448
