Observation,Actual,Predicted,Absolute_Error,Squared_Error
1,9.07,9.063750125946207,0.006249874053793292,3.9060925688278596e-05
2,8.97,8.960474485072167,0.009525514927833711,9.073543464038288e-05
3,8.72,8.730017979766348,0.010017979766347551,0.00010035991859894893
4,9.24,9.235632303066268,0.00436769693373229,1.907677650493445e-05
5,9.14,9.13621157163892,0.003788428361080065,1.4352189447035788e-05
6,8.89,8.905084463733584,0.015084463733582965,0.0002275410461297797
7,10.33,10.34703427133104,0.017034271331040074,0.00029016639977949376
8,10.24,10.231963962470463,0.00803603752953741,6.457789917613371e-05
9,9.99,10.011216915600002,0.02121691560000194,0.00045015750757760567
10,7.66,7.677575330553994,0.01757533055399385,0.0003088922440821498
11,7.57,7.567270293547021,0.002729706452979208,7.45129731943633e-06
12,7.32,7.333070324417985,0.013070324417984835,0.00017083338039137062
13,11.53,11.515637955934626,0.01436204406537378,0.0002062683097357382
14,11.43,11.415671842775385,0.014328157224614557,0.00020529608945327432
15,11.18,11.175447907760935,0.00455209223906472,2.0721543752953258e-05
16,8.65,8.645500054404296,0.004499945595703991,2.024951036429575e-05
17,8.55,8.551838205933777,0.0018382059337760381,3.3790010549694364e-06
18,8.31,8.312835677085271,0.0028356770852706603,8.041064531929108e-06
19,9.89,9.888500019661986,0.0014999803380142396,2.2499410144293125e-06
20,9.79,9.78914119108131,0.000858808918689391,7.375527588204411e-07
21,9.55,9.544895890714555,0.0051041092854458014,2.605193159777405e-05
22,9.78,9.728678341143471,0.051321658856528174,0.002633912667785857
23,9.69,9.67402775852216,0.015972241477840043,0.0002551124978264339
24,9.44,9.437542109899418,0.0024578901005813947,6.041223746536019e-06
25,7.19,7.1956297895198125,0.005629789519812078,3.1694530037385915e-05
26,7.09,7.090425354456258,0.00042535445625802026,1.809264134585561e-07
27,6.84,6.855526390730101,0.015526390730101092,0.0002410688091037691
