Observation,Actual,Predicted,Absolute_Error,Squared_Error
1,10.325,13.43895230688462,3.11395230688462,9.696698969552047
2,15.851,13.43895230688462,2.4120476931153814,5.817974073863233
3,10.008,9.26505379160585,0.7429462083941498,0.5519690685672435
4,6.301,6.778486870653054,0.4774868706530535,0.22799371164604584
5,6.753,8.167103308163009,1.4141033081630088,1.9996881661575654
6,16.758,14.733945865962216,2.024054134037783,4.09679513751544
7,11.558,14.589675013111698,3.0316750131116983,9.191053385125816
8,6.245,7.658983703550797,1.4139837035507972,1.9993499139072286
9,16.24,13.335195231205201,2.904804768794797,8.437890744812995
10,12.512,13.124887982282079,0.6128879822820785,0.3756316788257974
11,13.289,13.369152040108379,0.08015204010837884,0.00642434953353517
12,14.814,14.98681878137743,0.1728187813774298,0.029866331196779873
13,14.717,13.44116924632155,1.2758307536784503,1.6277441120317226
14,14.867,13.44116924632155,1.4258307536784507,2.0329933381352587
15,14.514,14.854121718550573,0.3401217185505736,0.1156827834297956
16,14.514,15.47911178153609,0.9651117815360912,0.9314407508597679
17,11.728,14.150652752138118,2.4226527521381183,5.869246357442399
18,7.545,8.642166599469595,1.0971665994695954,1.2037745469916756
19,7.647,9.694121272460738,2.0471212724607373,4.190705504161268
20,9.577,10.47157840755331,0.8945784075533094,0.800270527260615
21,12.196,12.704458280102713,0.5084582801027135,0.2585298226050095
22,9.149,11.376328776599358,2.227328776599359,4.960993479067597
23,18.214,13.706709678467673,4.5072903215323254,20.315666042578975
24,14.322,12.867509625748605,1.4544903742513942,2.1155422487899607
25,13.608,15.26407005362556,1.6560700536255588,2.742568022515361
26,10.168,9.794194012733808,0.3738059872661914,0.13973091611605204
27,9.04,8.934642512321581,0.10535748767841824,0.01110020020990805
28,12.485,13.648146070257607,1.163146070257607,1.3529087807557143
29,12.629,11.781671446073535,0.8473285539264648,0.717965678299114
30,10.389,12.039206677961895,1.6502066779618954,2.7231820799900346
